Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
RB,Taiwan Jones,3000,BUF@HOU 10/14/2018 01:00PM ET,0,BUF
RB,Tyler Ervin,3000,BUF@HOU 10/14/2018 01:00PM ET,0.44,HOU
RB,Buddy Howell,3000,BUF@HOU 10/14/2018 01:00PM ET,0,HOU
WR,Robert Foster,3000,BUF@HOU 10/14/2018 01:00PM ET,1,BUF
WR,Ray-Ray McCloud III,3000,BUF@HOU 10/14/2018 01:00PM ET,1,BUF
WR,Sammie Coates Jr.,3000,BUF@HOU 10/14/2018 01:00PM ET,0.73,HOU
WR,Vyncint Smith,3000,BUF@HOU 10/14/2018 01:00PM ET,1.27,HOU
WR,Bruce Ellington,3000,BUF@HOU 10/14/2018 01:00PM ET,7.73,HOU
RB,Michael Burton,3000,CHI@MIA 10/14/2018 01:00PM ET,0.53,CHI
RB,Senorise Perry,3000,CHI@MIA 10/14/2018 01:00PM ET,0,MIA
RB,Brandon Bolden,3000,CHI@MIA 10/14/2018 01:00PM ET,0,MIA
WR,Javon Wims,3000,CHI@MIA 10/14/2018 01:00PM ET,0,CHI
WR,Kevin White,3000,CHI@MIA 10/14/2018 01:00PM ET,0,CHI
WR,Josh Bellamy,3000,CHI@MIA 10/14/2018 01:00PM ET,2.95,CHI
RB,Andy Janovich,3000,LAR@DEN 10/14/2018 04:05PM ET,1.3,DEN
RB,Justin Davis,3000,LAR@DEN 10/14/2018 04:05PM ET,0,LAR
WR,Tim Patrick,3000,LAR@DEN 10/14/2018 04:05PM ET,1.04,DEN
